hr_a,hr_b,sep_rad
2665,2673,0.0043623243
3487,3496,0.004372977
5904,5912,0.0043783034
1732,1734,0.0043783034
2484,2489,0.00438363
2730,2733,0.00438363
6611,6604,0.00438363
8752,8761,0.004394283
3154,3155,0.004394283
7715,7712,0.0043996093
4220,4219,0.004410262
3138,3152,0.0044155885
1687,1685,0.0044155885
7385,7391,0.0044209147
985,967,0.0044315676
8164,8153,0.004436894
2492,2501,0.0044581997
2337,2360,0.0044581997
4876,4887,0.004463526
3153,3147,0.0044688527
5219,5215,0.004479505
4787,4795,0.004484832
5386,5388,0.004484832
6658,6647,0.004484832
1589,1572,0.004490158
7204,7212,0.004500811
2931,2926,0.004500811
7188,7177,0.004511464
6914,6926,0.0045221164
585,583,0.004527443
5818,5828,0.004527443
8494,8506,0.0045434223
5761,5769,0.0045647277
1011,1001,0.0045700544
4318,4321,0.0045753806
1347,1359,0.004580707
6647,6652,0.0045860335
42,43,0.0045860335
5768,5754,0.0045860335
7102,7100,0.0045913598
8631,8642,0.0045913598
911,910,0.004607339
1052,1063,0.004607339
7390,7384,0.004607339
2181,2171,0.004623318
2077,2080,0.004633971
2749,2750,0.004633971
3046,3058,0.004644624
8618,8624,0.004644624
2771,2761,0.00464995
6542,6551,0.004660603
9071,9059,0.0046659294
1063,1051,0.0046659294
7306,7301,0.004671256
557,552,0.0046819085
8556,8560,0.0046925615
1463,1462,0.0047032144
8172,8184,0.00472452
8190,8197,0.0047298465
464,454,0.0047351727
3561,3565,0.0047351727
4069,4067,0.004740499
1950,1959,0.004740499
3960,3966,0.0047458257
7647,7655,0.004751152
5485,5489,0.004756478
4520,4530,0.0047724573
8712,8706,0.004788437
2230,2240,0.004793763
2518,2510,0.004804416
3377,3365,0.0048097423
4196,4204,0.004873659
2887,2901,0.004873659
6909,6926,0.004873659
3057,3069,0.004873659
3494,3496,0.004889638
5952,5945,0.004889638
7062,7068,0.004894965
6800,6797,0.004900291
1351,1358,0.004905618
2855,2860,0.004910944
5794,5809,0.0049162703
3113,3099,0.004926923
415,410,0.0049322494
6663,6652,0.004937576
5735,5714,0.0049429024
4694,4684,0.0049429024
1481,1487,0.0049482286
1336,1340,0.0049801874
5513,5504,0.0049855136
3971,3967,0.0049961666
5340,5343,0.0050121457
3447,3435,0.0050121457
