HR_clean,RA_deg,DEC_deg,Vmag
0,252.16622674,-69.02771555,1.8955800533294678
1,141.89685049,-8.65860165,1.9834901189804077
2,211.67061735,-36.36995824,2.0499099946022032
3,17.43301226,35.62055764,2.0720099353790284
4,340.66687292,-46.88458025,2.1210399317741393
5,136.99899195,-43.43258995,2.19602992773056
6,305.55709378,40.25667904,2.2039700055122378
7,252.54088465,-34.29322839,2.268079886436462
8,6.57094162,-42.30607839,2.380440058708191
9,178.45768181,53.6947574,2.393869915008545
10,221.24676327,27.0742078,2.455690071582794
11,311.55284573,33.97025353,2.4601999306678772
12,345.94356931,28.08278481,2.4779600358009337
13,182.08963142,-50.72242738,2.5244501066207885
14,45.56988422,4.08973824,2.5386101055145263
15,224.63302487,-43.13396021,2.620009915828705
16,189.2959858,-69.13561311,2.6384699869155885
17,262.69097937,-37.29581257,2.6413700795173645
18,74.24840612,33.16608905,2.6647599267959596
19,275.24850706,-29.8281024,2.6795199298858643
20,109.28565491,-37.09747668,2.690049922466278
21,296.56491643,10.61326319,2.693870072364807
22,161.69248947,-49.42023604,2.7167200565338137
23,200.14923763,-36.71229344,2.724620132446289
24,222.71963908,-16.04177696,2.7250801062583925
25,183.78631757,-58.74892829,2.739539942741394
26,265.86813614,4.56730027,2.752909924983978
27,248.97063838,-28.21601356,2.7790700674057005
28,6.43782906,-77.25425174,2.7930800223350527
29,262.96037889,-49.87614279,2.8038899874687195
30,261.32495658,-55.52988502,2.80815993309021
31,276.99266925,-25.42170006,2.813390038013458
32,190.3792717,-48.95975694,2.8145698952674865
33,195.54415972,10.95914863,2.8198900556564332
34,229.72743233,-68.67954332,2.845669982433319
35,334.62539861,-60.25959646,2.846709907054901
36,58.53300785,31.88363844,2.849270050525665
37,190.3792717,-48.95975694,2.87731005191803
38,245.29713575,-25.59280657,2.9008300209045412
39,102.48403588,-50.61455277,2.9213899397850036
40,340.75057944,30.22124754,2.927620043754578
41,331.44598271,-0.31984929,2.9314800119400024
42,286.35253215,13.86347684,2.9548499369621277
43,59.50736224,-13.50851619,2.956109926700592
44,271.45202735,-30.42409858,2.9595299768447876
45,146.46280605,23.77425356,2.9598300671577453
46,233.78503305,-41.16678306,2.9719099855422972
47,328.48220445,-37.3648735,2.9800899624824524
48,100.98302446,25.13112434,2.985720019340515
49,167.41586628,44.49848342,2.987869884967804
50,146.77551194,-65.07200514,2.999620110988617
51,32.38594355,34.98729435,3.0008899474143984
52,266.89617172,-40.12699529,3.001039938926697
53,105.75613209,-23.83329149,3.0073700881004335
54,155.58225403,41.4995165,3.0441000938415526
55,288.1387485,67.66154123,3.0608699560165404
56,292.68035868,27.95967854,3.073230106830597
57,305.25280077,-14.78140739,3.073780040740967
58,173.94534186,-63.019845,3.095330002307892
59,224.79034661,-42.1042044,3.0959100794792174
60,309.39180731,-47.29150209,3.0981500720977784
61,254.65505492,-55.99014141,3.0997800064086913
62,133.8484958,5.94550965,3.1040700340270995
63,258.75796339,24.83920293,3.105640001296997
64,87.73997009,-35.76830949,3.1067999362945558
65,140.26376269,34.39256508,3.1231498670578004
66,274.40680477,-36.76168819,3.1310501170158385
67,281.41411125,-26.99077697,3.1345499300956727
68,258.76180626,36.80916352,3.1363000750541685
69,99.4402973,-43.19593498,3.1479900169372557
70,142.80549361,-57.03437817,3.1582399678230284
71,220.62675238,-64.97513751,3.163349883556366
72,76.36527121,-22.37103582,3.17488009929657
73,230.34302291,-40.6475107,3.1768000674247743
74,72.46004311,6.96127723,3.1769098687171935
75,254.41707145,9.37503097,3.187689924240112
76,267.46451837,-37.04330034,3.1886400747299195
77,318.23408465,30.22694106,3.196859939098358
78,354.836665,77.6323124,3.2133700466156006
79,284.73592752,32.68955708,3.2202400088310243
80,275.32750215,-2.89882468,3.2388098859786987
81,102.04772601,-61.94132165,3.2399500942230226
82,211.59290604,-26.68236072,3.2494700384140014
83,112.30762743,-43.30143311,3.254109995365143
84,56.80975228,-74.23896428,3.263200123310089
85,9.83199596,30.86101828,3.2672099804878236
86,153.43423521,-70.03789684,3.277749891281128
87,226.01756423,-25.28196292,3.2843101119995115
88,231.23239349,58.96606176,3.296440019607544
89,286.73502439,-27.67042392,3.3019900512695313
90,168.56002313,15.4295709,3.30237988948822
91,269.75663133,-9.7736295,3.3154201030731203
92,258.03830303,-43.2391912,3.318679971694946
93,117.32356494,-24.85978712,3.3219499087333677
94,63.60618243,-62.47386074,3.331039960384369
95,101.32235246,12.89558957,3.334160108566284
96,258.66188627,14.39036763,3.3362700080871583
97,332.71364908,58.20125999,3.3416999793052673
98,230.67030565,-44.68962812,3.3545498871803283
99,291.37457816,3.11478558,3.3586801218986513
100,16.5211354,-46.71845453,3.3665701150894165
101,154.27073517,-61.3323077,3.3686000227928163
102,207.37615861,-41.68770854,3.372159996032715
103,46.29413731,38.84027493,3.374030017852783
104,67.16558706,15.87088179,3.3875600790977476
105,240.03053121,-38.3967029,3.387970106601715
106,137.74204034,-58.96689247,3.3976500368118288
107,60.17006453,12.49034684,3.3990700030326844
108,228.07123478,-52.09924858,3.404959979057312
109,28.27045048,29.57882527,3.4095700216293334
110,266.61464422,27.72067433,3.413860013484955
111,311.23955932,-66.20321518,3.4139900040626525
112,193.90086808,3.39747144,3.4145498967170713
113,311.32240361,61.83878016,3.4157799315452575
114,131.69386615,6.41877721,3.4194199085235595
115,119.19464243,-52.98235073,3.420380058288574
116,207.40411849,-42.47373038,3.4330899596214293
117,22.0913625,-43.31823589,3.4435299253463745
118,17.14746688,-10.18226477,3.4489799308776856
119,276.74339772,-45.96846635,3.4523801231384277
120,228.87567834,33.31483226,3.4634599471092224
121,105.42978085,-27.93483318,3.4680798935890196
122,342.13873951,-51.31687677,3.4693701028823853
123,225.48650868,40.39056814,3.478449900150299
