sample_index,valid,observed_stars,expected_hrs,tetra_success,tetra_correct,tetra_time_us,tetra_hrs,pyramid_success,pyramid_correct,pyramid_time_us,pyramid_hrs
0,true,10,"215;271;167;258;166;178;262;214;259;277",false,false,62000,"",true,true,1376000,"215;271;167;258;166;178;262;214;259;277"
1,true,10,"8974;592;581;240;333;774;20;572;597;386",false,false,91000,"",true,true,1784000,"8974;592;581;240;333;774;20;572;597;386"
2,true,10,"458;335;417;390;477;483;469;324;430;476",false,false,73000,"",true,true,2151000,"458;335;417;390;477;483;469;324;430;476"
3,true,10,"472;566;440;520;519;506;487;486;541;460",false,false,63000,"",true,true,2555000,"472;566;440;520;519;506;486;487;541;460"
4,true,10,"603;620;643;604;477;483;469;543;476;628",false,false,52000,"",true,true,3101000,"603;620;643;604;477;483;469;543;476;628"
5,true,10,"794;724;772;744;659;805;706;742;814;686",false,false,60000,"",true,true,1982000,"794;724;772;744;659;805;706;742;814;686"
6,true,10,"813;718;896;812;702;847;763;809;766;753",false,false,59000,"",true,true,1440000,"813;718;896;812;702;847;763;809;766;753"
7,true,10,"936;921;840;843;947;879;788;882;855;748",false,false,52000,"",true,true,1961000,"936;921;840;843;947;879;788;882;855;748"
8,true,10,"991;882;1123;971;1019;1041;1074;978;976;975",false,false,61000,"",true,true,2326000,"991;882;1123;971;1019;1041;1074;978;976;975"
9,true,10,"1030;1038;996;1153;1115;1199;1007;1079;1159;1067",false,false,71000,"",true,true,1579000,"1030;1038;996;1153;1115;1199;1007;1079;1159;1067"
10,true,10,"1195;1106;1143;1190;1134;1214;1189;1054;1219;1186",true,true,86000,"1195;1106;1143;1189;1134;1214;1190;1054",true,true,2466000,"1195;1106;1143;1189;1134;1214;1190;1054;1219;1186"
11,true,10,"1409;1346;1373;1387;1389;1256;1380;1329;1388;1339",false,false,62000,"",true,true,3212000,"1409;1346;1373;1387;1389;1256;1380;1329;1388;1339"
12,true,10,"1457;1412;1409;1346;1373;1411;1387;1389;1394;1444",false,false,33000,"",true,true,3450000,"1457;1412;1409;1346;1373;1411;1387;1389;1394;1444"
13,true,10,"1387;1392;1497;1348;1388;1369;1399;1403;1490;1586",false,false,37000,"",true,true,3850000,"1387;1392;1497;1348;1388;1369;1399;1403;1490;1586"
14,true,10,"1567;1520;1601;1469;1562;1691;1618;1574;1534;1646",false,false,64000,"",true,true,1673798000,"1567;1520;1601;1469;1562;1691;1618;1574;1534;1646"
15,true,10,"1713;1666;1735;1784;1679;1705;1696;1611;1617;1657",false,false,52000,"",true,true,1778000,"1713;1666;1735;1784;1679;1705;1696;1611;1617;1657"
16,true,10,"1791;1726;1843;1706;1928;1914;1732;1821;1804;1752",true,true,158000,"1791;1726;1843;1706;1928;1914;1732;1821",true,true,1507000,"1791;1726;1843;1706;1928;1914;1732;1821;1804;1752"
17,true,10,"2077;2029;1751;1971;1866;1969;1941;1719;2080;1692",false,false,143000,"",true,true,3167000,"2077;2029;1751;1971;1866;1969;1941;1719;2080;1692"
18,true,10,"1903;1948;1852;1931;1949;1934;1811;1834;2037;1963",true,true,140000,"1903;1948;1851;1931;1949;1934;1811;1834",true,true,3974000,"1903;1948;1851;1931;1949;1934;1811;1834;2037;1963"
19,true,10,"1983;2035;2148;2168;2163;2180;2186;1975;2166;1968",false,false,55000,"",true,true,2762000,"1983;2035;2148;2168;2163;2180;2186;1975;2166;1968"
